regime,cc_gain,cc_mode,limb_condition,mean,std,n
capacity,1.0,stuck,L4 failure,1.491133142853051,0.7357603906673557,30
capacity,1.0,stuck,L4 slip,0.8551511827962457,0.3989815205361109,30
capacity,1.0,stuck,intact,0.7489566213731317,0.4035425153999032,30
sensor_comm,0.0,always,L4 failure,1.7139782248244835,0.68968645196653,30
sensor_comm,0.0,always,L4 slip,0.9012995569947597,0.4329786443356674,30
sensor_comm,0.0,always,intact,0.7516173050158494,0.3731176857403827,30
sensor_comm,0.0,delayed,L4 failure,1.7139782248244835,0.68968645196653,30
sensor_comm,0.0,delayed,L4 slip,0.9012995569947597,0.4329786443356674,30
sensor_comm,0.0,delayed,intact,0.7516173050158494,0.3731176857403827,30
sensor_comm,0.0,dropout,L4 failure,1.7139782248244835,0.68968645196653,30
sensor_comm,0.0,dropout,L4 slip,0.9012995569947597,0.4329786443356674,30
sensor_comm,0.0,dropout,intact,0.7516173050158494,0.3731176857403827,30
sensor_comm,0.0,intermittent,L4 failure,1.7139782248244835,0.68968645196653,30
sensor_comm,0.0,intermittent,L4 slip,0.9012995569947597,0.4329786443356674,30
sensor_comm,0.0,intermittent,intact,0.7516173050158494,0.3731176857403827,30
sensor_comm,0.0,noisy,L4 failure,1.7139782248244835,0.68968645196653,30
sensor_comm,0.0,noisy,L4 slip,0.9012995569947597,0.4329786443356674,30
sensor_comm,0.0,noisy,intact,0.7516173050158494,0.3731176857403827,30
sensor_comm,0.0,stuck,L4 failure,1.7139782248244835,0.68968645196653,30
sensor_comm,0.0,stuck,L4 slip,0.9012995569947597,0.4329786443356674,30
sensor_comm,0.0,stuck,intact,0.7516173050158494,0.3731176857403827,30
sensor_comm,0.025,always,L4 failure,1.6409068493946775,0.6614430019496693,30
sensor_comm,0.025,always,L4 slip,0.8216348623871662,0.3890917269486519,30
sensor_comm,0.025,always,intact,0.6797860064710455,0.3085426937815091,30
sensor_comm,0.025,delayed,L4 failure,1.6488409446746195,0.6646681238452733,30
sensor_comm,0.025,delayed,L4 slip,0.8282385439952669,0.3923852549239901,30
sensor_comm,0.025,delayed,intact,0.6857980601983011,0.31303169309034523,30
sensor_comm,0.025,dropout,L4 failure,1.6819160262005406,0.6795091022058937,30
sensor_comm,0.025,dropout,L4 slip,0.8542579230419352,0.40654452172096744,30
sensor_comm,0.025,dropout,intact,0.7097218920010058,0.332650895294492,30
sensor_comm,0.025,intermittent,L4 failure,1.688505960856431,0.6783290328462585,30
sensor_comm,0.025,intermittent,L4 slip,0.8728807406764691,0.416898743047734,30
sensor_comm,0.025,intermittent,intact,0.7258802761020616,0.35002350685523637,30
sensor_comm,0.025,noisy,L4 failure,1.6396227629649913,0.662033447916972,30
sensor_comm,0.025,noisy,L4 slip,0.8201150088682514,0.38890873224205946,30
sensor_comm,0.025,noisy,intact,0.6792607374755781,0.30656206297244265,30
sensor_comm,0.025,stuck,L4 failure,1.6576892372198027,0.6659784905384256,30
sensor_comm,0.025,stuck,L4 slip,0.8291066451207538,0.3919024247291026,30
sensor_comm,0.025,stuck,intact,0.6862008488038142,0.31193143728623574,30
sensor_comm,0.05,always,L4 failure,1.580450705416398,0.6443572989819281,30
sensor_comm,0.05,always,L4 slip,0.7601258281636544,0.3581660808350386,30
sensor_comm,0.05,always,intact,0.6215557682086653,0.25944871413909226,30
sensor_comm,0.05,delayed,L4 failure,1.593813548160156,0.6497432375081639,30
sensor_comm,0.05,delayed,L4 slip,0.7700973265819656,0.3626096041956727,30
sensor_comm,0.05,delayed,intact,0.6311521377153464,0.26564846000483056,30
sensor_comm,0.05,dropout,L4 failure,1.6536150776511949,0.6756067417762168,30
sensor_comm,0.05,dropout,L4 slip,0.8139362548306235,0.38472600684411956,30
sensor_comm,0.05,dropout,intact,0.6740681658667662,0.2963174659247326,30
sensor_comm,0.05,intermittent,L4 failure,1.6643559296074253,0.6686560280464174,30
sensor_comm,0.05,intermittent,L4 slip,0.8466246633492063,0.40229073986950714,30
sensor_comm,0.05,intermittent,intact,0.7018490918755076,0.32833674192503415,30
sensor_comm,0.05,noisy,L4 failure,1.578606162697433,0.6458135061238385,30
sensor_comm,0.05,noisy,L4 slip,0.7581670443597264,0.3579647207328152,30
sensor_comm,0.05,noisy,intact,0.6205951944289118,0.25591385008554546,30
sensor_comm,0.05,stuck,L4 failure,1.610819383734408,0.6524955001342857,30
sensor_comm,0.05,stuck,L4 slip,0.7713394567669196,0.3610612859032402,30
sensor_comm,0.05,stuck,intact,0.6326794905258462,0.26213599554650413,30
sensor_comm,0.1,always,L4 failure,1.5007596727509542,0.6072651486013523,30
sensor_comm,0.1,always,L4 slip,0.6808300136681908,0.32419085176192997,30
sensor_comm,0.1,always,intact,0.5425184477017131,0.19736866695506847,30
sensor_comm,0.1,delayed,L4 failure,1.5204923413593843,0.6150255841053974,30
sensor_comm,0.1,delayed,L4 slip,0.6919114013770116,0.32786187128761884,30
sensor_comm,0.1,delayed,intact,0.5549245986004192,0.20173159662576928,30
sensor_comm,0.1,dropout,L4 failure,1.6110809354439504,0.6721739115514914,30
sensor_comm,0.1,dropout,L4 slip,0.7509177371011926,0.3531328054627211,30
sensor_comm,0.1,dropout,intact,0.6155125728085434,0.242184891945053,30
sensor_comm,0.1,intermittent,L4 failure,1.6199352509471987,0.6539510075967185,30
sensor_comm,0.1,intermittent,L4 slip,0.8001950762922703,0.37744184077007825,30
sensor_comm,0.1,intermittent,intact,0.658165026244658,0.29000954225821185,30
sensor_comm,0.1,noisy,L4 failure,1.4994472752235237,0.6092854358943993,30
sensor_comm,0.1,noisy,L4 slip,0.6801124990991422,0.3239485442321295,30
sensor_comm,0.1,noisy,intact,0.5402833115186201,0.19455561342756755,30
sensor_comm,0.1,stuck,L4 failure,1.5550812815796256,0.6112884739652465,30
sensor_comm,0.1,stuck,L4 slip,0.6944302255906086,0.32524862278959604,30
sensor_comm,0.1,stuck,intact,0.5602589210728376,0.19459447165588922,30
sensor_comm,0.2,always,L4 failure,1.4205831965558742,0.5460243916967515,30
sensor_comm,0.2,always,L4 slip,0.6327615097498458,0.3041834669373246,30
sensor_comm,0.2,always,intact,0.47223225812770403,0.1930229666967008,30
sensor_comm,0.2,delayed,L4 failure,1.4494853129030794,0.5499394849599257,30
sensor_comm,0.2,delayed,L4 slip,0.6422414202728439,0.3040163304137957,30
sensor_comm,0.2,delayed,intact,0.48434501049891093,0.19105761427890577,30
sensor_comm,0.2,dropout,L4 failure,1.5834623434945319,0.6226833933332949,30
sensor_comm,0.2,dropout,L4 slip,0.6789198081938924,0.32353528894950695,30
sensor_comm,0.2,dropout,intact,0.538525946822344,0.20235799059363443,30
sensor_comm,0.2,intermittent,L4 failure,1.5494589297360661,0.6316308736471368,30
sensor_comm,0.2,intermittent,L4 slip,0.7293384978520131,0.3430374132476038,30
sensor_comm,0.2,intermittent,intact,0.5889349824574676,0.23102736992371886,30
sensor_comm,0.2,noisy,L4 failure,1.4217888608536873,0.5472107371424634,30
sensor_comm,0.2,noisy,L4 slip,0.6359570347549649,0.305159445100473,30
sensor_comm,0.2,noisy,intact,0.4680077693987389,0.19640207800382273,30
sensor_comm,0.2,stuck,L4 failure,1.5174526817243,0.5332155247624378,30
sensor_comm,0.2,stuck,L4 slip,0.6667429231728657,0.29853641683300575,30
sensor_comm,0.2,stuck,intact,0.5084754611721978,0.20773431048751909,30
sensor_comm,0.4,always,L4 failure,1.3395436905666993,0.5285805166397677,30
sensor_comm,0.4,always,L4 slip,0.6539310377205355,0.29450448422243725,30
sensor_comm,0.4,always,intact,0.47876060080728766,0.23054826247281568,30
sensor_comm,0.4,delayed,L4 failure,1.383925550774834,0.5195963794459455,30
sensor_comm,0.4,delayed,L4 slip,0.6727074649063752,0.2909993565726835,30
sensor_comm,0.4,delayed,intact,0.49864779627408157,0.2333541606378872,30
sensor_comm,0.4,dropout,L4 failure,1.585943721011473,0.5587868588896836,30
sensor_comm,0.4,dropout,L4 slip,0.6643907200013683,0.29912811269662104,30
sensor_comm,0.4,dropout,intact,0.48716421113621344,0.23145104708912514,30
sensor_comm,0.4,intermittent,L4 failure,1.46851946477208,0.5826952859647766,30
sensor_comm,0.4,intermittent,L4 slip,0.6565265342807287,0.31360076925124847,30
sensor_comm,0.4,intermittent,intact,0.5046936753845785,0.18453495840464357,30
sensor_comm,0.4,noisy,L4 failure,1.3374027331142997,0.5333337518678274,30
sensor_comm,0.4,noisy,L4 slip,0.6644959070878915,0.3024571873228367,30
sensor_comm,0.4,noisy,intact,0.47795747595219706,0.23466603379251783,30
sensor_comm,0.4,stuck,L4 failure,1.5136785579384426,0.5229137373071625,30
sensor_comm,0.4,stuck,L4 slip,0.7709982270471563,0.3114095201210939,30
sensor_comm,0.4,stuck,intact,0.6118455188324928,0.2952684457728084,30
sensor_comm,1.0,always,L4 failure,1.1997656778219052,0.5943194116169415,30
sensor_comm,1.0,always,L4 slip,0.662018734649063,0.31284046544162725,30
sensor_comm,1.0,always,intact,0.5020648158321513,0.26414585597414963,30
sensor_comm,1.0,delayed,L4 failure,1.2600425126894055,0.5577187159665451,30
sensor_comm,1.0,delayed,L4 slip,0.6950847318434789,0.3203476484315361,30
sensor_comm,1.0,delayed,intact,0.5364392498021724,0.29037333519520747,30
sensor_comm,1.0,dropout,L4 failure,1.5668337225744708,0.5691294359428701,30
sensor_comm,1.0,dropout,L4 slip,0.7519148724002197,0.3338620642027256,30
sensor_comm,1.0,dropout,intact,0.5882708249813806,0.2851101666503753,30
sensor_comm,1.0,intermittent,L4 failure,1.369956596545053,0.5289775144007435,30
sensor_comm,1.0,intermittent,L4 slip,0.6662266643334878,0.29625000539521934,30
sensor_comm,1.0,intermittent,intact,0.4829421526211343,0.229816917290872,30
sensor_comm,1.0,noisy,L4 failure,1.2359294004141386,0.6199864852099544,30
sensor_comm,1.0,noisy,L4 slip,0.7346112716831374,0.3411572247369631,30
sensor_comm,1.0,noisy,intact,0.5471876075540044,0.2661969306532936,30
sensor_comm,1.0,stuck,L4 failure,1.522178175424974,0.6460563766242141,30
sensor_comm,1.0,stuck,L4 slip,0.9517506485884758,0.5244009970776972,30
sensor_comm,1.0,stuck,intact,0.8300596484891452,0.5731911253329,30
