history,regime,condition,model_seed,model,context_hidden,message_hidden,context_parameters,message_parameters,best_epoch,train_nll_nats,validation_nll_nats,test_nll_nats,calibration_variance,test_rmse_standardized,test_coverage_50,test_coverage_80,test_coverage_95,gain_bits_per_action
0,peer_sensor,sensor_failure_only,43,with_message_shuffled,64,63,5057,5104,80,-0.8056197468332648,-0.6044700861492014,-0.673255232826022,0.10981697589159012,0.3077489733695984,0.6426432291666667,0.8638997395833333,0.9543294270833333,
0,peer_sensor,limb_loss_sensor_loss,41,context_only,64,63,5057,5104,25,-0.5679769684005688,-0.5133646416513185,1.8962609617489643,0.13176579773426056,0.8756587505340576,0.30618489583333336,0.5754231770833333,0.7428059895833333,
0,peer_sensor,limb_loss_sensor_loss,41,with_message,64,63,5057,5104,51,-0.8248032585919591,-0.7097791621605851,1.4307308073813738,0.0889609083533287,0.6854227781295776,0.45358072916666664,0.7053059895833333,0.8275716145833333,0.6716180450903965
0,peer_sensor,limb_loss_sensor_loss,41,with_message_shuffled,64,63,5057,5104,51,-0.8248032585919591,-0.7097791621605851,2.148349489483364,0.0889609083533287,0.7729710936546326,0.39482421875,0.6201497395833333,0.7682942708333333,
0,peer_sensor,limb_loss_sensor_loss,42,context_only,64,63,5057,5104,53,-0.7194608354751331,-0.617528102959743,0.5302178553879612,0.10698612034320831,0.5937776565551758,0.6344075520833333,0.8164388020833333,0.8772135416666667,
0,peer_sensor,limb_loss_sensor_loss,42,with_message,64,63,5057,5104,80,-0.8209261840321527,-0.6308685497539332,0.014759685765892231,0.10416937619447708,0.4885476231575012,0.53671875,0.7977864583333333,0.88369140625,0.743648945099461
0,peer_sensor,limb_loss_sensor_loss,42,with_message_shuffled,64,63,5057,5104,80,-0.8209261840321527,-0.6308685497539332,0.09865242489168796,0.10416937619447708,0.506119430065155,0.50830078125,0.7663736979166667,0.8717447916666666,
0,peer_sensor,limb_loss_sensor_loss,43,context_only,64,63,5057,5104,24,-0.5510678730768618,-0.5545972048674012,0.5487982062882618,0.12133567780256271,0.6237772703170776,0.363671875,0.6500325520833333,0.8415364583333333,
0,peer_sensor,limb_loss_sensor_loss,43,with_message,64,63,5057,5104,80,-0.8056197468332648,-0.6044700861492014,-0.5610230647486548,0.10981697589159012,0.34548431634902954,0.6311848958333334,0.8421549479166667,0.9271809895833333,1.601133643998046
0,peer_sensor,limb_loss_sensor_loss,43,with_message_shuffled,64,63,5057,5104,80,-0.8056197468332648,-0.6044700861492014,-0.3923022672201126,0.10981697589159012,0.39549490809440613,0.5932942708333333,0.81396484375,0.9050455729166667,
0,peer_sensor,limb_loss_sensor_loss_cc_dropout,41,context_only,64,63,5057,5104,25,-0.5679769684005688,-0.5133646416513185,1.9225239839835306,0.13176579773426056,0.8796018362045288,0.2945638020833333,0.5542317708333333,0.7489908854166667,
0,peer_sensor,limb_loss_sensor_loss_cc_dropout,41,with_message,64,63,5057,5104,51,-0.8248032585919591,-0.7097791621605851,1.4196338693125439,0.0889609083533287,0.6839810013771057,0.4107747395833333,0.68564453125,0.82197265625,0.7255170745479148
0,peer_sensor,limb_loss_sensor_loss_cc_dropout,41,with_message_shuffled,64,63,5057,5104,51,-0.8248032585919591,-0.7097791621605851,2.1391260997412616,0.0889609083533287,0.7719088792800903,0.35556640625,0.59052734375,0.75380859375,
0,peer_sensor,limb_loss_sensor_loss_cc_dropout,42,context_only,64,63,5057,5104,53,-0.7194608354751331,-0.617528102959743,0.6765449983365872,0.10698612034320831,0.6195819973945618,0.5931640625,0.7888346354166667,0.8656901041666667,
0,peer_sensor,limb_loss_sensor_loss_cc_dropout,42,with_message,64,63,5057,5104,80,-0.8209261840321527,-0.6308685497539332,0.10180254738222617,0.10416937619447708,0.5067673325538635,0.5286783854166667,0.7938802083333333,0.8849283854166666,0.829178083780225
0,peer_sensor,limb_loss_sensor_loss_cc_dropout,42,with_message_shuffled,64,63,5057,5104,80,-0.8209261840321527,-0.6308685497539332,0.18643339531928182,0.10416937619447708,0.5238750576972961,0.48681640625,0.7612630208333333,0.8713541666666667,
0,peer_sensor,limb_loss_sensor_loss_cc_dropout,43,context_only,64,63,5057,5104,24,-0.5510678730768618,-0.5545972048674012,0.8822923240420586,0.12133567780256271,0.6855855584144592,0.32623697916666666,0.5882161458333334,0.7949544270833333,
0,peer_sensor,limb_loss_sensor_loss_cc_dropout,43,with_message,64,63,5057,5104,80,-0.8056197468332648,-0.6044700861492014,-0.43834727230560405,0.10981697589159012,0.3824959993362427,0.6135091145833333,0.8302083333333333,0.9277669270833333,1.9052801964523753
0,peer_sensor,limb_loss_sensor_loss_cc_dropout,43,with_message_shuffled,64,63,5057,5104,80,-0.8056197468332648,-0.6044700861492014,-0.2724978065055711,0.10981697589159012,0.42746853828430176,0.5777018229166667,0.8076822916666667,0.90556640625,
4,own_sensor,intact,41,context_only,64,62,8129,8061,35,-0.9440769627629083,-0.9600313533688721,-0.745642548888541,0.05393030866980553,0.27758678793907166,0.612155720338983,0.832075388418079,0.9230225988700564,
4,own_sensor,intact,41,with_message,64,62,8129,8061,80,-1.087080415933591,-1.0592796809075098,-0.9398187888409841,0.05,0.23623026907444,0.62842072740113,0.8489583333333334,0.9400820974576272,0.28013709843785517
4,own_sensor,intact,41,with_message_shuffled,64,62,8129,8061,80,-1.087080415933591,-1.0592796809075098,-0.8752184942594243,0.05,0.24952909350395203,0.6074549788135594,0.8402409957627118,0.9339468573446328,
4,own_sensor,intact,42,context_only,64,62,8129,8061,36,-0.9050823741117543,-0.952159117102287,-0.7475132567509641,0.05478612706065178,0.2778662145137787,0.64013947740113,0.8427789548022598,0.9250750353107344,
4,own_sensor,intact,42,with_message,64,62,8129,8061,80,-1.1177099584466268,-1.0944323422576963,-1.0071918899069763,0.05,0.22151169180870056,0.6735963983050848,0.8708730579096046,0.9494394420903954,0.37463707627900306
4,own_sensor,intact,42,with_message_shuffled,64,62,8129,8061,80,-1.1177099584466268,-1.0944323422576963,-0.9288367344954112,0.05,0.23854336142539978,0.6214689265536724,0.8564618644067796,0.9406338276836158,
4,own_sensor,intact,43,context_only,64,62,8129,8061,37,-0.8721330380035975,-0.949916134022825,-0.6932189889437979,0.05503245070576668,0.28859275579452515,0.6285752118644068,0.841410663841808,0.9235522598870056,
4,own_sensor,intact,43,with_message,64,62,8129,8061,80,-1.095379580171117,-1.0768405219276795,-0.8526578246051599,0.05,0.25400951504707336,0.6269200211864406,0.8427127471751412,0.9341896186440678,0.2300216175337575
