regime,seed,task,cc_gain,cc_mode,limb_condition,rms_path_error,late_path_error,late_heading_error,post_event_path_integral
capacity,9101,straight,1.0,dropout,L4 slip,0.35584059177476707,0.384438943171782,0.10673589753416195,2.237499599385674
capacity,9101,straight,1.0,intermittent,intact,0.2832596485862719,0.21080768253741883,0.028969703937665108,1.3982698191143188
capacity,9101,straight,1.0,intermittent,L4 failure,0.7628819469812658,1.1496133472446677,0.10487802402158981,5.863227396359588
capacity,9101,straight,1.0,intermittent,L4 slip,0.3695015455035067,0.39753982136659033,0.04044339775250114,2.3778078191843743
capacity,9101,straight,1.0,delayed,intact,0.2750768858234675,0.187912416853761,0.042280340430390285,1.2840121248449594
capacity,9101,straight,1.0,delayed,L4 failure,0.6314690639847492,0.9096386451438313,0.06710535210949498,4.818468148117212
capacity,9101,straight,1.0,delayed,L4 slip,0.3451777768778982,0.3551292517111046,0.014579993774246621,2.1228950322491165
capacity,9101,straight,1.0,noisy,intact,0.302200928741936,0.24413206644507862,0.06341272627513987,1.568215624005559
capacity,9101,straight,1.0,noisy,L4 failure,0.6810803229357995,0.9887806159700645,0.0687547836256869,5.214483804391958
capacity,9101,straight,1.0,noisy,L4 slip,0.39154695296574255,0.440632042872532,0.045336824646364834,2.5510640090264705
capacity,9101,straight,1.0,stuck,intact,0.27393042372334986,0.18700128979906988,0.04559364521353976,1.2722005112868673
capacity,9101,straight,1.0,stuck,L4 failure,0.6663813430611668,0.974878624623242,0.11805865361665471,5.072980994305933
capacity,9101,straight,1.0,stuck,L4 slip,0.34562453613824196,0.3569801561119989,0.019258352937792544,2.129684886253793
capacity,9101,s_lr,0.0,always,intact,0.7326513137650965,0.9474562887962612,0.10476090083344167,5.673932655626344
capacity,9101,s_lr,0.0,always,L4 failure,1.5470300036852271,2.387243911226972,0.8423718742200912,12.048491701104982
capacity,9101,s_lr,0.0,always,L4 slip,0.9753153648414792,1.3957138513536171,0.2715082296342127,7.733951822841316
capacity,9101,s_lr,0.0,dropout,intact,0.7326513137650965,0.9474562887962612,0.10476090083344167,5.673932655626344
capacity,9101,s_lr,0.0,dropout,L4 failure,1.5470300036852271,2.387243911226972,0.8423718742200912,12.048491701104982
capacity,9101,s_lr,0.0,dropout,L4 slip,0.9753153648414792,1.3957138513536171,0.2715082296342127,7.733951822841316
capacity,9101,s_lr,0.0,intermittent,intact,0.7326513137650965,0.9474562887962612,0.10476090083344167,5.673932655626344
capacity,9101,s_lr,0.0,intermittent,L4 failure,1.5470300036852271,2.387243911226972,0.8423718742200912,12.048491701104982
capacity,9101,s_lr,0.0,intermittent,L4 slip,0.9753153648414792,1.3957138513536171,0.2715082296342127,7.733951822841316
capacity,9101,s_lr,0.0,delayed,intact,0.7326513137650965,0.9474562887962612,0.10476090083344167,5.673932655626344
capacity,9101,s_lr,0.0,delayed,L4 failure,1.5470300036852271,2.387243911226972,0.8423718742200912,12.048491701104982
capacity,9101,s_lr,0.0,delayed,L4 slip,0.9753153648414792,1.3957138513536171,0.2715082296342127,7.733951822841316
capacity,9101,s_lr,0.0,noisy,intact,0.7326513137650965,0.9474562887962612,0.10476090083344167,5.673932655626344
capacity,9101,s_lr,0.0,noisy,L4 failure,1.5470300036852271,2.387243911226972,0.8423718742200912,12.048491701104982
