regime,seed,task,scenario,rms_path_error,late_path_error,late_heading_error,post_event_path_integral
capacity,9102,straight,L4 slip only,0.31667519207550077,0.27215672283214953,0.008329469643897757,2.6167609658504
capacity,9102,straight,L4 slip + CC dropout,0.31712260936722986,0.27389190279510356,0.023551098985363915,1.7060352188531576
capacity,9102,s_lr,CC dropout only,0.4835598390210355,0.49919456833227754,0.08679840821138343,3.3523657285596133
capacity,9102,s_lr,CC intermittent only,0.5021599033694704,0.5224991629275899,0.11067084570144407,3.5067779615069905
capacity,9102,s_lr,L4 loss only,0.9249016007266387,1.358509316108751,0.12113877517790902,8.2925138541385
capacity,9102,s_lr,L4 loss + CC dropout,1.1004413632174312,1.6763937914529479,0.4155808527062227,8.640075535217408
capacity,9102,s_lr,L4 slip only,0.5713096608667501,0.6430663420802801,0.12339464812515026,5.284706035435704
capacity,9102,s_lr,L4 slip + CC dropout,0.6640398911965641,0.8808721094752221,0.05335698986432498,5.120137933226848
capacity,9102,s_rl,CC dropout only,0.6554759792520574,0.8965802143914594,0.09506390352183938,5.051428197370099
capacity,9102,s_rl,CC intermittent only,0.6545996753228135,0.8898499805273115,0.049073453599836094,5.055173419616349
capacity,9102,s_rl,L4 loss only,0.5987584940705099,0.7626335632507326,0.37924142540994377,5.202546821582655
capacity,9102,s_rl,L4 loss + CC dropout,0.5873325300709608,0.7419568347876994,0.39700311706225533,4.209029861231257
capacity,9102,s_rl,L4 slip only,0.42308303915132234,0.3121046118142176,0.14495634536534485,3.572508010984787
capacity,9102,s_rl,L4 slip + CC dropout,0.4678320133435655,0.49092807217234463,0.055288083863471615,3.189763653387003
capacity,9102,sine,CC dropout only,0.3913571360641995,0.2738712791248964,0.07005517894655452,1.789382818453987
capacity,9102,sine,CC intermittent only,0.4792901706577444,0.49696274876668695,0.04939852602549888,2.8878860216603996
capacity,9102,sine,L4 loss only,0.9447839024199183,1.4032373999242176,0.19337954235830285,8.360097313922003
capacity,9102,sine,L4 loss + CC dropout,1.0549386215480003,1.594437766979335,0.42502266508378117,7.88095496450001
capacity,9102,sine,L4 slip only,0.522823218300951,0.5840893303796152,0.04168615687414442,4.9367493133803455
capacity,9102,sine,L4 slip + CC dropout,0.5571775511536261,0.6707878723533378,0.055776159852803084,3.6892581110703677
capacity,9102,chirp,CC dropout only,0.5551178025980015,0.624168770871408,0.02963261764633198,3.735107902282237
capacity,9102,chirp,CC intermittent only,0.6615538716018592,0.8330838536369469,0.0322449303240402,4.772095940187121
capacity,9102,chirp,L4 loss only,1.0995669168997246,1.6408865191826945,0.18396177443891298,9.89960623618815
capacity,9102,chirp,L4 loss + CC dropout,1.2576979943580355,1.9142608883261722,0.4747299315046513,9.617902215705504
capacity,9102,chirp,L4 slip only,0.6745547716554519,0.8414824470689547,0.060135001327155414,6.561670407175072
capacity,9102,chirp,L4 slip + CC dropout,0.7536374445494128,1.0156478784154284,0.10149594002444781,5.576931736483591
capacity,9103,straight,CC dropout only,0.43023348129867817,0.2491311649739288,0.061072658379229885,1.8678371839259187
capacity,9103,straight,CC intermittent only,0.4540240246326273,0.3379607578851037,0.05123993245530549,2.286491482178467
capacity,9103,straight,L4 loss only,0.5518918268685623,0.5989445111304167,0.01455303498438416,4.560390209306752
capacity,9103,straight,L4 loss + CC dropout,0.5653975894671719,0.6349392970232947,0.0869237596272237,3.635409150466576
capacity,9103,straight,L4 slip only,0.4516326392321203,0.3149558908507437,0.07254679716115905,3.6460673011641647
capacity,9103,straight,L4 slip + CC dropout,0.4524153415667382,0.3215083604108427,0.037124474270809435,2.217946861464654
capacity,9103,s_lr,CC dropout only,0.5486605369485587,0.4116673427066614,0.04930454782647091,3.1314990272003844
capacity,9103,s_lr,CC intermittent only,0.604106947016364,0.5419272623613892,0.056551244963912374,3.8041518381702346
capacity,9103,s_lr,L4 loss only,0.6444103219041255,0.6031742077296586,0.11028533917635323,5.457561279458408
capacity,9103,s_lr,L4 loss + CC dropout,0.6817587789030862,0.7297662859327517,0.035872474970939906,4.691764553410886
capacity,9103,s_lr,L4 slip only,0.5704044764443764,0.4311202385598672,0.12961669312389995,4.928310225612558
capacity,9103,s_lr,L4 slip + CC dropout,0.5874016227180988,0.5097635148041271,0.02426239248467809,3.6117023392191885
capacity,9103,s_rl,CC dropout only,0.42501907906324815,0.16547081157174365,0.051561897924256715,1.5665614368922822
capacity,9103,s_rl,CC intermittent only,0.4185941228864077,0.2165804385774809,0.02805383949175355,1.6957688172373755
capacity,9103,s_rl,L4 loss only,0.5603326957186069,0.6306645312079892,0.15295041916571261,4.600561112049968
capacity,9103,s_rl,L4 loss + CC dropout,0.5566736419326659,0.6215652946286825,0.1637187377387201,3.5453565562168188
capacity,9103,s_rl,L4 slip only,0.43226666939066516,0.2194146040500864,0.00958198038967964,3.25364903795986
capacity,9103,s_rl,L4 slip + CC dropout,0.4325964164203959,0.2119254609040952,0.02780445146417601,1.7800132256957568
capacity,9103,sine,CC dropout only,0.46090880946028717,0.3382999509185144,0.06562456591191028,2.2046243569386808
capacity,9103,sine,CC intermittent only,0.5332557191653525,0.5479038710158474,0.04793975062725623,3.167796457419432
capacity,9103,sine,L4 loss only,0.5563185140007391,0.6286814489208888,0.04314430352607094,4.591922344297809
capacity,9103,sine,L4 loss + CC dropout,0.5767004453439345,0.6816082482557595,0.08388579953077377,3.6718128057359944
capacity,9103,sine,L4 slip only,0.4631142797458197,0.34743312815625116,0.09641097025009752,3.833321166398459
capacity,9103,sine,L4 slip + CC dropout,0.47168926055954724,0.3836337630882221,0.046313605461984396,2.3982523652606185
capacity,9103,chirp,CC dropout only,0.5531692017109179,0.5086143052736962,0.05223517547948705,3.2283437810118105
