regime,condition,history,levels,rate_per_receiver_bits_per_step,rate_shared_bus_bits_per_step,gain_bits_per_action,shuffle_gap_bits_per_action,eta_per_receiver,eta_shared_bus,context_test_nll_nats,message_test_nll_nats,shuffled_test_nll_nats,context_best_epoch,message_best_epoch,model_seed
own_sensor,intact,4,65,6.022367813028454,24.089471252113817,-0.24874375341373145,0.5583220485060786,-0.04130331476526776,-0.04130331476526776,-0.7260587215423584,-0.5536426901817322,-0.16664333641529083,21,24,41
own_sensor,limb_loss_sensor_loss_cc_dropout,4,65,6.022367813028454,24.089471252113817,-0.06988441925183612,0.25522816578403146,-0.011604143323935159,-0.011604143323935159,-0.3900195062160492,-0.3415793180465698,-0.16466863453388214,21,24,41
own_sensor,intact,4,full_precision,,,0.014078499799629515,0.09517717678796322,,,-0.6812996864318848,-0.6910581588745117,-0.6250863671302795,22,39,42
own_sensor,limb_loss_sensor_loss_cc_dropout,4,full_precision,,,-0.1423945836257202,-0.09564247584987255,,,-0.6251768469810486,-0.5264764428138733,-0.5927707552909851,22,39,42
own_sensor,intact,4,1,0.0,0.0,0.0,0.0,,,-0.6812996864318848,-0.6812996864318848,-0.6812996864318848,22,39,42
own_sensor,limb_loss_sensor_loss_cc_dropout,4,1,0.0,0.0,0.0,0.0,,,-0.6251768469810486,-0.6251768469810486,-0.6251768469810486,22,39,42
own_sensor,intact,4,3,1.584962500721156,6.339850002884624,-0.044584180470396494,0.011932414290837958,-0.028129485997372645,-0.028129485997372645,-0.6812996864318848,-0.6503962874412537,-0.6421253681182861,22,39,42
own_sensor,limb_loss_sensor_loss_cc_dropout,4,3,1.584962500721156,6.339850002884624,-0.2664676834723745,-0.034144876558686726,-0.16812238986798236,-0.16812238986798236,-0.6251768469810486,-0.4404755234718323,-0.46414294838905334,22,39,42
own_sensor,intact,4,9,3.169925001442312,12.679700005769249,0.12484831164541842,0.02659909475641828,0.03938525725012818,0.03938525725012818,-0.6812996864318848,-0.7678379416465759,-0.7494008541107178,22,39,42
own_sensor,limb_loss_sensor_loss_cc_dropout,4,9,3.169925001442312,12.679700005769249,0.0443624088421089,0.07766469939855601,0.013994781839294009,0.013994781839294009,-0.6251768469810486,-0.655926525592804,-0.6020934581756592,22,39,42
