regime,seed,split,task,condition,limb,retained_strength,loss,excess_loss
capacity,9101,OOS,right,L3,3,0.5,0.033785875766072164,-0.0019037682047052529
capacity,9101,OOS,right,L3,3,0.0,0.13149288434965106,0.09580324037887364
capacity,9101,OOS,right,L4,4,0.5,0.03911568473532176,0.0034260407645443428
capacity,9101,OOS,right,L4,4,0.0,0.10873799428882759,0.07304835031805018
capacity,9102,ID,straight,intact,0,1.0,0.0046598675637425134,0.0
capacity,9102,ID,straight,L1,1,0.5,0.03625695366820852,0.031597086104466
capacity,9102,ID,straight,L1,1,0.0,0.4196546620081135,0.414994794444371
capacity,9102,ID,straight,L2,2,0.5,0.003998424111461236,-0.0006614434522812778
capacity,9102,ID,straight,L2,2,0.0,0.030043920896030862,0.02538405333228835
capacity,9102,ID,straight,L3,3,0.5,0.004608159427207273,-5.1708136535240715e-05
capacity,9102,ID,straight,L3,3,0.0,0.004565448012902299,-9.441955084021469e-05
capacity,9102,ID,straight,L4,4,0.5,0.0036605193984813617,-0.0009993481652611517
capacity,9102,ID,straight,L4,4,0.0,0.030335075510367397,0.025675207946624885
capacity,9102,ID,left,intact,0,1.0,0.01946355810521405,0.0
capacity,9102,ID,left,L1,1,0.5,0.039182015405876236,0.019718457300662184
capacity,9102,ID,left,L1,1,0.0,0.4191350414999777,0.39967148339476366
capacity,9102,ID,left,L2,2,0.5,0.03238326752047442,0.01291970941526037
capacity,9102,ID,left,L2,2,0.0,0.08646395564519782,0.06700039753998377
capacity,9102,ID,left,L3,3,0.5,0.020609772278590177,0.0011462141733761255
capacity,9102,ID,left,L3,3,0.0,0.022639112751253444,0.0031755546460393927
capacity,9102,ID,left,L4,4,0.5,0.029421816314483675,0.009958258209269624
capacity,9102,ID,left,L4,4,0.0,0.07419355698483526,0.05472999887962121
capacity,9102,ID,right,intact,0,1.0,0.03198495049440226,0.0
capacity,9102,ID,right,L1,1,0.5,0.07065474019331544,0.03866978969891318
capacity,9102,ID,right,L1,1,0.0,0.45091295621084526,0.418928005716443
capacity,9102,ID,right,L2,2,0.5,0.01882642685736423,-0.013158523637038032
capacity,9102,ID,right,L2,2,0.0,0.022989529746398913,-0.008995420748003347
capacity,9102,ID,right,L3,3,0.5,0.0328304689248047,0.0008455184304024393
capacity,9102,ID,right,L3,3,0.0,0.034892524070844186,0.0029075735764419255
capacity,9102,ID,right,L4,4,0.5,0.019474398498597896,-0.012510551995804364
capacity,9102,ID,right,L4,4,0.0,0.02755406255508721,-0.004430887939315051
capacity,9102,OOS,s_lr,intact,0,1.0,0.02221438970511119,0.0
capacity,9102,OOS,s_lr,L1,1,0.5,0.05079761556148062,0.028583225856369434
capacity,9102,OOS,s_lr,L1,1,0.0,0.4335833779966018,0.4113689882914906
capacity,9102,OOS,s_lr,L2,2,0.5,0.022980311966311447,0.0007659222612002581
capacity,9102,OOS,s_lr,L2,2,0.0,0.04750124751605035,0.025286857810939162
capacity,9102,OOS,s_lr,L3,3,0.5,0.02235576679501185,0.0001413770899006614
capacity,9102,OOS,s_lr,L3,3,0.0,0.023080561561920517,0.0008661718568093273
capacity,9102,OOS,s_lr,L4,4,0.5,0.02559306254918738,0.00337867284407619
capacity,9102,OOS,s_lr,L4,4,0.0,0.058322060846665566,0.03610767114155437
capacity,9102,OOS,s_rl,intact,0,1.0,0.0250217483883787,0.0
capacity,9102,OOS,s_rl,L1,1,0.5,0.05964681213870117,0.03462506375032247
capacity,9102,OOS,s_rl,L1,1,0.0,0.4475729325612549,0.4225511841728762
capacity,9102,OOS,s_rl,L2,2,0.5,0.019475387782160392,-0.005546360606218308
capacity,9102,OOS,s_rl,L2,2,0.0,0.04919272784853565,0.02417097946015695
capacity,9102,OOS,s_rl,L3,3,0.5,0.025421845516649014,0.0004000971282703131
capacity,9102,OOS,s_rl,L3,3,0.0,0.02648061513047472,0.0014588667420960197
capacity,9102,OOS,s_rl,L4,4,0.5,0.020189194229309936,-0.004832554159068764
capacity,9102,OOS,s_rl,L4,4,0.0,0.04226605497802567,0.01724430658964697
capacity,9102,OOS,sine,intact,0,1.0,0.013595097639433137,0.0
capacity,9102,OOS,sine,L1,1,0.5,0.039976891930860736,0.026381794291427597
capacity,9102,OOS,sine,L1,1,0.0,0.40951316829830164,0.3959180706588685
capacity,9102,OOS,sine,L2,2,0.5,0.015791235534298856,0.0021961378948657188
capacity,9102,OOS,sine,L2,2,0.0,0.050198584404579145,0.03660348676514601
capacity,9102,OOS,sine,L3,3,0.5,0.013374392786184663,-0.000220704853248474
capacity,9102,OOS,sine,L3,3,0.0,0.013530086684758734,-6.50109546744028e-05
capacity,9102,OOS,sine,L4,4,0.5,0.016079623476075493,0.0024845258366423557
capacity,9102,OOS,sine,L4,4,0.0,0.05216055001597541,0.03856545237654227
capacity,9102,OOS,chirp,intact,0,1.0,0.023698431274529298,0.0
capacity,9102,OOS,chirp,L1,1,0.5,0.052594465612438045,0.028896034337908747
capacity,9102,OOS,chirp,L1,1,0.0,0.41770105958035164,0.39400262830582233
capacity,9102,OOS,chirp,L2,2,0.5,0.027524362042834084,0.003825930768304786
capacity,9102,OOS,chirp,L2,2,0.0,0.06136982689510087,0.03767139562057158
capacity,9102,OOS,chirp,L3,3,0.5,0.024933973698831977,0.001235542424302679
capacity,9102,OOS,chirp,L3,3,0.0,0.026670402209640804,0.0029719709351115065
capacity,9102,OOS,chirp,L4,4,0.5,0.03383718859361834,0.010138757319089042
capacity,9102,OOS,chirp,L4,4,0.0,0.07912523962078144,0.055426808346252146
capacity,9102,OOS,left,intact,0,1.0,0.0504044462145304,0.0
capacity,9102,OOS,left,L1,1,0.5,0.0866056791754562,0.0362012329609258
capacity,9102,OOS,left,L1,1,0.0,0.5636196769439352,0.5132152307294048
capacity,9102,OOS,left,L2,2,0.5,0.08259937537570732,0.032194929161176916
capacity,9102,OOS,left,L2,2,0.0,0.18999386291666936,0.13958941670213898
capacity,9102,OOS,left,L3,3,0.5,0.0521115047476948,0.001707058533164399
capacity,9102,OOS,left,L3,3,0.0,0.05524725108957926,0.004842804875048859
capacity,9102,OOS,left,L4,4,0.5,0.07115685953230821,0.020752413317777815
capacity,9102,OOS,left,L4,4,0.0,0.13819706767228074,0.08779262145775034
capacity,9102,OOS,right,intact,0,1.0,0.06691370331958646,0.0
capacity,9102,OOS,right,L1,1,0.5,0.08761685990613438,0.02070315658654792
capacity,9102,OOS,right,L1,1,0.0,0.3763929465197823,0.3094792432001958
capacity,9102,OOS,right,L2,2,0.5,0.05023373193927473,-0.01667997138031173
capacity,9102,OOS,right,L2,2,0.0,0.03838398152084581,-0.02852972179874065
capacity,9102,OOS,right,L3,3,0.5,0.06708509247072467,0.00017138915113820707
capacity,9102,OOS,right,L3,3,0.0,0.06844469008015987,0.0015309867605734079
capacity,9102,OOS,right,L4,4,0.5,0.04465139663986866,-0.0222623066797178
capacity,9102,OOS,right,L4,4,0.0,0.03488023861122356,-0.0320334647083629
capacity,9103,ID,straight,intact,0,1.0,0.006159992242926687,0.0
capacity,9103,ID,straight,L1,1,0.5,0.004040713853264093,-0.0021192783896625943
capacity,9103,ID,straight,L1,1,0.0,0.014177737136837119,0.008017744893910432
capacity,9103,ID,straight,L2,2,0.5,0.017040919183381957,0.01088092694045527
capacity,9103,ID,straight,L2,2,0.0,0.12843871094734888,0.1222787187044222
capacity,9103,ID,straight,L3,3,0.5,0.020469685201230277,0.01430969295830359
capacity,9103,ID,straight,L3,3,0.0,0.13191637807931123,0.12575638583638454
capacity,9103,ID,straight,L4,4,0.5,0.004989303378955064,-0.001170688863971623
capacity,9103,ID,straight,L4,4,0.0,0.005551584804203791,-0.0006084074387228957
capacity,9103,ID,left,intact,0,1.0,0.025847687241338152,0.0
capacity,9103,ID,left,L1,1,0.5,0.01961830050086207,-0.006229386740476083
capacity,9103,ID,left,L1,1,0.0,0.03493106716614869,0.009083379924810536
capacity,9103,ID,left,L2,2,0.5,0.029758627874714838,0.003910940633376686
capacity,9103,ID,left,L2,2,0.0,0.12534026018872282,0.09949257294738467
capacity,9103,ID,left,L3,3,0.5,0.026027391350606992,0.00017970410926883978
capacity,9103,ID,left,L3,3,0.0,0.1095255859723994,0.08367789873106125
capacity,9103,ID,left,L4,4,0.5,0.02282405141361466,-0.0030236358277234907
capacity,9103,ID,left,L4,4,0.0,0.027445755413396136,0.0015980681720579835
capacity,9103,ID,right,intact,0,1.0,0.015352009688072448,0.0
capacity,9103,ID,right,L1,1,0.5,0.01588103589272482,0.0005290262046523716
capacity,9103,ID,right,L1,1,0.0,0.02430860073100539,0.008956591042932944
capacity,9103,ID,right,L2,2,0.5,0.03438874344617809,0.01903673375810564
capacity,9103,ID,right,L2,2,0.0,0.1630641786034448,0.14771216891537234
capacity,9103,ID,right,L3,3,0.5,0.044126150836723936,0.02877414114865149
capacity,9103,ID,right,L3,3,0.0,0.18225371944774155,0.1669017097596691
capacity,9103,ID,right,L4,4,0.5,0.015062078502529693,-0.000289931185542755
capacity,9103,ID,right,L4,4,0.0,0.015615561894675693,0.00026355220660324516
capacity,9103,OOS,s_lr,intact,0,1.0,0.023373085072013182,0.0
capacity,9103,OOS,s_lr,L1,1,0.5,0.022142033947884616,-0.0012310511241285654
capacity,9103,OOS,s_lr,L1,1,0.0,0.038839511235773824,0.015466426163760642
capacity,9103,OOS,s_lr,L2,2,0.5,0.040026834157121924,0.016653749085108742
capacity,9103,OOS,s_lr,L2,2,0.0,0.15996251359865565,0.13658942852664246
capacity,9103,OOS,s_lr,L3,3,0.5,0.04025375209177972,0.016880667019766538
capacity,9103,OOS,s_lr,L3,3,0.0,0.15568765766046733,0.13231457258845414
capacity,9103,OOS,s_lr,L4,4,0.5,0.022414002536274416,-0.0009590825357387658
capacity,9103,OOS,s_lr,L4,4,0.0,0.02266982258821538,-0.0007032624837978035
