regime,seed,task,cc_gain,cc_mode,limb_condition,always_late_path_error,disrupted_late_path_error,retention_ratio
capacity,9101,sine,0.1,dropout,L4 slip,0.725282781125172,0.8633809558100886,0.8400495473572931
capacity,9101,sine,0.1,intermittent,intact,0.40545604644388733,0.7660643571755564,0.5292715196132931
capacity,9101,sine,0.1,intermittent,L4 failure,1.7928059758973354,2.34912156497269,0.7631814388107998
capacity,9101,sine,0.1,intermittent,L4 slip,0.725282781125172,1.153597632444613,0.6287138259708542
capacity,9101,sine,0.1,delayed,intact,0.40545604644388733,0.4254760910230691,0.952946722503154
capacity,9101,sine,0.1,delayed,L4 failure,1.7928059758973354,1.841701686119091,0.9734507979276543
capacity,9101,sine,0.1,delayed,L4 slip,0.725282781125172,0.7534488993982518,0.9626170821995029
capacity,9101,sine,0.1,noisy,intact,0.40545604644388733,0.38643677358494744,1.049217036677176
capacity,9101,sine,0.1,noisy,L4 failure,1.7928059758973354,1.7762350806313847,1.0093292241813288
capacity,9101,sine,0.1,noisy,L4 slip,0.725282781125172,0.7100235567199944,1.0214911523156622
capacity,9101,sine,0.1,stuck,intact,0.40545604644388733,0.3972032697940235,1.020777212267521
capacity,9101,sine,0.1,stuck,L4 failure,1.7928059758973354,1.9050874543775116,0.9410622970498411
capacity,9101,sine,0.1,stuck,L4 slip,0.725282781125172,0.7368011787524555,0.9843670206299256
capacity,9101,sine,0.2,dropout,intact,0.24045491807631744,0.23343976095379318,1.030051252168275
capacity,9101,sine,0.2,dropout,L4 failure,1.3254321150861959,1.6989279373898492,0.7801579372004005
capacity,9101,sine,0.2,dropout,L4 slip,0.42722520753457094,0.49697856986943767,0.8596451304667084
capacity,9101,sine,0.2,intermittent,intact,0.24045491807631744,0.5586224772700714,0.4304426117104973
capacity,9101,sine,0.2,intermittent,L4 failure,1.3254321150861959,2.055572517077086,0.644799492148732
capacity,9101,sine,0.2,intermittent,L4 slip,0.42722520753457094,0.9202477438655091,0.4642502091230428
capacity,9101,sine,0.2,delayed,intact,0.24045491807631744,0.25287482258293636,0.9508851676898536
capacity,9101,sine,0.2,delayed,L4 failure,1.3254321150861959,1.3563372232801967,0.9772142888482709
capacity,9101,sine,0.2,delayed,L4 slip,0.42722520753457094,0.4352901083972179,0.9814723543975242
capacity,9101,sine,0.2,noisy,intact,0.24045491807631744,0.23429553860280058,1.026288931962801
capacity,9101,sine,0.2,noisy,L4 failure,1.3254321150861959,1.3104578240986853,1.0114267630076608
capacity,9101,sine,0.2,noisy,L4 slip,0.42722520753457094,0.41782096625649673,1.0225078252111959
capacity,9101,sine,0.2,stuck,intact,0.24045491807631744,0.28220701056630915,0.8520515404411565
capacity,9101,sine,0.2,stuck,L4 failure,1.3254321150861959,1.4567763845808213,0.9098391003006141
capacity,9101,sine,0.2,stuck,L4 slip,0.42722520753457094,0.4167023262699063,1.025252753827558
capacity,9101,sine,0.4,dropout,intact,0.23489998463742995,0.45518233177697986,0.5160569034400067
capacity,9101,sine,0.4,dropout,L4 failure,1.0469419743601456,1.3280983016813037,0.7883015685170075
capacity,9101,sine,0.4,dropout,L4 slip,0.33490093196220233,0.36136777330374714,0.9267592649461353
capacity,9101,sine,0.4,intermittent,intact,0.23489998463742995,0.30706543626575644,0.7649834754899951
capacity,9101,sine,0.4,intermittent,L4 failure,1.0469419743601456,1.6101699626544979,0.6502058780392198
capacity,9101,sine,0.4,intermittent,L4 slip,0.33490093196220233,0.6011016598807999,0.55714524566213
capacity,9101,sine,0.4,delayed,intact,0.23489998463742995,0.2833967400381877,0.8288732771088939
capacity,9101,sine,0.4,delayed,L4 failure,1.0469419743601456,1.0393910676577893,1.0072647408057602
capacity,9101,sine,0.4,delayed,L4 slip,0.33490093196220233,0.33816243571520455,0.9903552156935934
capacity,9101,sine,0.4,noisy,intact,0.23489998463742995,0.239207662000201,0.9819918922046593
capacity,9101,sine,0.4,noisy,L4 failure,1.0469419743601456,1.065100173481473,0.9829516513343773
capacity,9101,sine,0.4,noisy,L4 slip,0.33490093196220233,0.35286196099448797,0.9490989933240035
capacity,9101,sine,0.4,stuck,intact,0.23489998463742995,0.37451181083836316,0.6272164931503622
capacity,9101,sine,0.4,stuck,L4 failure,1.0469419743601456,1.1871355630638896,0.881905998720216
capacity,9101,sine,0.4,stuck,L4 slip,0.33490093196220233,0.3575417152244972,0.936676526687022
capacity,9101,sine,1.0,dropout,intact,0.2841507837926476,0.43104329529605695,0.6592163406636031
capacity,9101,sine,1.0,dropout,L4 failure,1.0302870777157982,1.3945226177501282,0.7388098727133058
capacity,9101,sine,1.0,dropout,L4 slip,0.4239757898491301,0.3671783307709511,1.1546863044965738
capacity,9101,sine,1.0,intermittent,intact,0.2841507837926476,0.24948996497834885,1.1389267051975684
capacity,9101,sine,1.0,intermittent,L4 failure,1.0302870777157982,1.10574783202207,0.9317559102347256
capacity,9101,sine,1.0,intermittent,L4 slip,0.4239757898491301,0.358883167194514,1.1813755244177724
capacity,9101,sine,1.0,delayed,intact,0.2841507837926476,0.3396730259534698,0.836542092193014
capacity,9101,sine,1.0,delayed,L4 failure,1.0302870777157982,1.0622395937080467,0.969919671436169
capacity,9101,sine,1.0,delayed,L4 slip,0.4239757898491301,0.46249268541994154,0.9167189086767107
capacity,9101,sine,1.0,noisy,intact,0.2841507837926476,0.35831649804072824,0.7930161891690218
capacity,9101,sine,1.0,noisy,L4 failure,1.0302870777157982,1.1251775025065978,0.9156662619192005
capacity,9101,sine,1.0,noisy,L4 slip,0.4239757898491301,0.5217128115013377,0.812661258267841
capacity,9101,sine,1.0,stuck,intact,0.2841507837926476,0.5676519973732599,0.5005721553126221
capacity,9101,sine,1.0,stuck,L4 failure,1.0302870777157982,1.6096157004442617,0.6400826467034547
capacity,9101,sine,1.0,stuck,L4 slip,0.4239757898491301,0.7434374840742173,0.570291112476116
capacity,9101,chirp,0.0,dropout,intact,1.189615469732019,1.189615469732019,1.0
capacity,9101,chirp,0.0,dropout,L4 failure,2.6172891188398197,2.6172891188398197,1.0
capacity,9101,chirp,0.0,dropout,L4 slip,1.5982755661525843,1.5982755661525843,1.0
capacity,9101,chirp,0.0,intermittent,intact,1.189615469732019,1.189615469732019,1.0
capacity,9101,chirp,0.0,intermittent,L4 failure,2.6172891188398197,2.6172891188398197,1.0
capacity,9101,chirp,0.0,intermittent,L4 slip,1.5982755661525843,1.5982755661525843,1.0
capacity,9101,chirp,0.0,delayed,intact,1.189615469732019,1.189615469732019,1.0
capacity,9101,chirp,0.0,delayed,L4 failure,2.6172891188398197,2.6172891188398197,1.0
capacity,9101,chirp,0.0,delayed,L4 slip,1.5982755661525843,1.5982755661525843,1.0
capacity,9101,chirp,0.0,noisy,intact,1.189615469732019,1.189615469732019,1.0
capacity,9101,chirp,0.0,noisy,L4 failure,2.6172891188398197,2.6172891188398197,1.0
capacity,9101,chirp,0.0,noisy,L4 slip,1.5982755661525843,1.5982755661525843,1.0
capacity,9101,chirp,0.0,stuck,intact,1.189615469732019,1.189615469732019,1.0
capacity,9101,chirp,0.0,stuck,L4 failure,2.6172891188398197,2.6172891188398197,1.0
capacity,9101,chirp,0.0,stuck,L4 slip,1.5982755661525843,1.5982755661525843,1.0
capacity,9101,chirp,0.025,dropout,intact,0.9686394683827849,1.0338149333479254,0.9369563517968588
capacity,9101,chirp,0.025,dropout,L4 failure,2.340776026362096,2.4473384849058535,0.956457817665603
capacity,9101,chirp,0.025,dropout,L4 slip,1.348427860182592,1.4318234708875666,0.9417556616436251
capacity,9101,chirp,0.025,intermittent,intact,0.9686394683827849,1.1124473271022863,0.87072838846753
capacity,9101,chirp,0.025,intermittent,L4 failure,2.340776026362096,2.5240789306096985,0.9273782994562199
capacity,9101,chirp,0.025,intermittent,L4 slip,1.348427860182592,1.512942215604145,0.891261970401256
capacity,9101,chirp,0.025,delayed,intact,0.9686394683827849,0.9849081316288227,0.9834820500272111
capacity,9101,chirp,0.025,delayed,L4 failure,2.340776026362096,2.3638098572266157,0.990255632958759
capacity,9101,chirp,0.025,delayed,L4 slip,1.348427860182592,1.3679505892696675,0.9857284837331015
capacity,9101,chirp,0.025,noisy,intact,0.9686394683827849,0.9616435108899122,1.0072750009890865
capacity,9101,chirp,0.025,noisy,L4 failure,2.340776026362096,2.3355827511088783,1.0022235458156008
capacity,9101,chirp,0.025,noisy,L4 slip,1.348427860182592,1.3429320098152915,1.0040924263679265
capacity,9101,chirp,0.025,stuck,intact,0.9686394683827849,0.9749135036597802,0.9935645211052643
capacity,9101,chirp,0.025,stuck,L4 failure,2.340776026362096,2.3705007146075294,0.9874605866759443
capacity,9101,chirp,0.025,stuck,L4 slip,1.348427860182592,1.3633372959550574,0.9890640153271676
capacity,9101,chirp,0.05,dropout,intact,0.7816337950408953,0.890473014935354,0.8777737022133566
capacity,9101,chirp,0.05,dropout,L4 failure,2.0896171473978904,2.2901311784851126,0.9124443032036884
